year,外商直接投资：合同总价：年初至今：共计,外商直接投资：已动用：年初至今：共计
区域,中国,中国
次国家,,
频率,月,月
单位,百万美元,百万美元
数据来源,商务部,商务部
状态,继续,继续
数列ID,8012601 (COQBB),8013301 (COQCB)
SR码,SR447922,SR447930
Trade Code,,
助记符,,
函数说明,,
首次观测日期,01/1997,01/1997
最后观测日期,08/2015,09/2022
最后更新时间,25/11/2020,02/11/2022
数列备注,,[COVID-19-IMPACT]
您可以,,
03/2012,,29480
04/2012,,37881
05/2012,,47110
06/2012,,59089
07/2012,,66669
08/2012,,74994
09/2012,,83422.56
10/2012,,91736
11/2012,,100022
12/2012,,121073.14
01/2013,,9270
02/2013,,17483.72
03/2013,,29905
04/2013,,38339.64
05/2013,,47595.27
06/2013,,61984.36
07/2013,,71392.28
08/2013,,79769.69
09/2013,,88609.41
10/2013,,97025.9
11/2013,,105506.12
12/2013,,123911.2
01/2014,14681.69761273,10763.45
02/2014,25326.08695652,19309.54
03/2014,,31548.53
04/2014,,40269.18
05/2014,,48908.66
06/2014,,63326.46
07/2014,,71139.32
08/2014,,78343.94
09/2014,,87354.5
10/2014,,95880.89
11/2014,,106240.93
12/2014,,128501.56
01/2015,33210,13923.05
02/2015,51260,22483.9
03/2015,,34883.11
04/2015,101320,44494.49
05/2015,125770,53829.3
06/2015,,68411.18
07/2015,,76630.85
08/2015,204110,85342.78
09/2015,,94902.95
10/2015,,103676.07
11/2015,,114037.22
12/2015,,135576.6
01/2016,,14074.37
02/2016,,22516.53
03/2016,,35415.22
04/2016,,45302.76
05/2016,,54189.97
06/2016,,69417
07/2016,,77125.92
08/2016,,85880.81
09/2016,,95094.44
10/2016,,103906.29
11/2016,,113793.41
12/2016,,133711.42
01/2017,,11997.83
02/2017,,20703.57
03/2017,,33812.22
04/2017,,42731.68
05/2017,,50844.71
06/2017,,65645.68
07/2017,,72140.79
08/2017,,81504.08
09/2017,,92089.1
10/2017,,101122.58
11/2017,,119905.41
12/2017,,136315.13
01/2018,,12074.01
02/2018,,21061.79
03/2018,,34508.78
04/2018,,43600.03
05/2018,,52658.9
06/2018,,68320.62
07/2018,,76069.74
08/2018,,86496.86
09/2018,,97958.97
10/2018,,107655.13
11/2018,,121257.29
12/2018,,138305.89
01/2019,,12407
02/2019,,21688
03/2019,,35795
04/2019,,45137
05/2019,,54609
06/2019,,70736
07/2019,,78801
08/2019,,89260
09/2019,,100780
10/2019,,110778
11/2019,,124394
12/2019,,141230
01/2020,,12680
02/2020,,19420
03/2020,,31200
04/2020,,41340
05/2020,,51210
06/2020,,67930
07/2020,,76980
08/2020,,89000
09/2020,,103260
10/2020,,115090
11/2020,,129470
12/2020,,149340
01/2021,,13470
02/2021,,26070
03/2021,,44860
04/2021,,59040
05/2021,,71580
06/2021,,90960
07/2021,,100740
08/2021,,113780
09/2021,,129260
10/2021,,142010
11/2021,,157200
12/2021,,180960
01/2022,,15840
02/2022,,37860
03/2022,,59090
04/2022,,74470
05/2022,,87770
06/2022,,112350
07/2022,,123920
08/2022,,138410
09/2022,,155300
