year,CN: Industrial Inventory,CN: Industrial Inventory: Coal,CN: Industrial Inventory: Petroleum & Natural Gas,CN: Industrial Inventory: Ferrous Metal,CN: Industrial Inventory: Non Ferrous Metal,CN: Industrial Inventory: Non Metal Mineral
Region,China,China,China,China,China,China
Subnational,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,RMB bn,RMB bn,RMB bn,RMB bn,RMB bn,RMB bn
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active,Active,Active,Active
Series ID,389073307 (CBRCMKE),389073327 (CBRCMKG),389073347 (CBRCMKI),389073367 (CBRCMKK),389073387 (CBRCMKM),389073407 (CBRCMKO)
SR Code,SR107478567,SR107478577,SR107478587,SR107478597,SR107478607,SR107478617
Trade Code,,,,,,
Mnemonic,,,,,,
Function Description,,,,,,
First Obs. Date,01/2010,01/2012,01/2012,01/2012,01/2012,01/2012
Last Obs. Date,06/2023,06/2023,06/2023,06/2023,06/2023,06/2023
Last Update Time,28/07/2023,28/07/2023,28/07/2023,28/07/2023,28/07/2023,28/07/2023
Series remarks,,,,,,
Suggestions,,,,,,
Mean,10898.448033583332,181.2575720144928,25.335300913043476,40.009800543478256,38.42444370289856,24.12099434782609
Variance,6492999.845749489,1992.207141955188,28.91363839661372,89.8105816767313,27.012456998964286,39.906090232051056
Standard Deviation,2548.136543780472,44.63414771175975,5.37714035492972,9.476844499976313,5.197350959764434,6.31712673864084
Skewness,0.3919075498667514,-0.03629996182071178,1.0136250557412239,0.3043643275050878,-0.3748900049080268,1.0091315404716086
Kurtosis,-0.16036390647776777,-1.2555474981746133,3.6351920219968425,-0.9781692872002208,-1.2490646641227603,1.5475414578039999
Coefficient Variation,0.23380728484720434,0.24624707931203527,0.2122390562237761,0.23686307782709187,0.13526157984096907,0.261893297081684
Min,5298.444,113.47,17.221,26.58,27.7,12.968
Max,16293.69,255.94,53.15,60.47,46.78,43.4
Median,10471.205000000002,182.385,25.755000000000003,39.37,40.247,23.35
No. of Obs,156,138,138,138,138,138
01/2010,5298.444,,,,,
02/2010,5298.444,,,,,
05/2010,6004.51,,,,,
08/2010,6310.437,,,,,
11/2010,6724.834,,,,,
12/2010,6979.009631,,,,,
01/2011,6583.263,,,,,
02/2011,6583.263,,,,,
03/2011,6896.16,,,,,
04/2011,7105.252,,,,,
05/2011,7297.517,,,,,
06/2011,7364.196,,,,,
07/2011,7488.773,,,,,
08/2011,7618.018,,,,,
09/2011,7705.759,,,,,
10/2011,7794.996,,,,,
11/2011,7892.358,,,,,
12/2011,8058.314623,,,,,
01/2012,7955.918,167.509,27.916,40.844,30.441,12.968
02/2012,7955.918,167.509,27.916,40.844,30.441,12.968
03/2012,8164.319,175.856,28.327,42.308,32.902,13.409
04/2012,8322.739,188.853,30.009,44.042,35.188,13.59
