year,通信设备制造：雇员人数,通信设备制造：总资产,通信设备制造：制成品：年初至今,通信设备制造：总负债,通信设备制造：销售收入：年初至今,通信设备制造：总利润：年初至今,通信设备制造：企业数量
区域,中国,中国,中国,中国,中国,中国,中国
次国家,,,,,,,
频率,月,月,月,月,月,月,月
单位,千人,百万人民币,百万人民币,百万人民币,百万人民币,百万人民币,个
数据来源,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部,工业和信息化部
状态,继续,继续,继续,继续,继续,继续,继续
数列ID,64683401 (CRFAHCU),64682301 (CRFAHCJ),64682001 (CRFAHCG),64682401 (CRFAHCK),64682501 (CRFAHCL),64683201 (CRFAHCS),64681601 (CRFAHCC)
SR码,SR943752,SR939009,SR295540,SR939531,SR939847,SR942934,SR295536
Trade Code,,,,,,,
助记符,,,,,,,
函数说明,,,,,,,
首次观测日期,01/2003,01/2003,01/2003,01/2003,01/2003,01/2003,01/2004
最后观测日期,12/2018,12/2018,12/2018,12/2018,12/2018,12/2018,12/2018
最后更新时间,24/08/2020,24/08/2020,24/08/2020,24/08/2020,24/08/2020,24/08/2020,24/08/2020
数列备注,,,,,,,
您可以,,,,,,,
01/2010,,,,,116845.36,2865.9,
02/2010,,,,,116845.36,2865.9,
05/2010,,,,,345102.19,18210.78,
08/2010,,,,,583043.75,33936.82,
11/2010,,,,,847739.06,48910.03,
12/2010,967.31,812563.59,51006.74,508592.92,953037.92,55379.32,1584
01/2011,,,,,139332.01,3892.69,
02/2011,,,,,139332.01,3892.69,
04/2011,,,,,306930.01,11233.62,
05/2011,,,,,389307.57,14097.08,
06/2011,,,,,511359.98,26483.2,
07/2011,,,,,588413.35,23677.97,
08/2011,,,,,686606.16,25864.33,
09/2011,,,,,805222.39,30390.73,
10/2011,,,,,904226.33,32348.59,
11/2011,,,,,1026761.59,36672.22,
12/2011,1162.17,891756.141,45090.937,550065.167,1165258.86,55871.65,1149
01/2012,,,,,154669.32,-1843.41,
02/2012,,,,,154669.32,-1843.41,
03/2012,,,,,269308.15,3970.76,
04/2012,,,,,352771.97,2181.32,
05/2012,,,,,445865.86,2686.13,
06/2012,,,,,582445.93,19086.73,
07/2012,,,,,680505.75,18162.29,
08/2012,,,,,792595.51,20244.64,
09/2012,,,,,923274.06,30557.02,
10/2012,,,,,1039764.75,34528.41,
11/2012,,,,,1177262.06,,
12/2012,1386.478,995126.47,43967.25,648227.08,1355500.48,57285.96,1261
04/2013,,,,,444936.79,10678.82,
12/2013,,1167524.66,52503.23,753094.19,1652645.36,82632.83,1364
12/2014,,1515025.48,88806.48,990161.69,1974501.75,105580.72,1402
12/2015,,1790228.5,117004.31,1199583.39,2386318.31,123266.61,1514
12/2016,1940,2408000,121300,1639300,3058400,122400,1785
12/2017,2002,2715760,129610,1842820,3355150,160090,1992
12/2018,1810,3071300,150200,2114500,3638100,138530,2044
