year,已出售商品建筑：年初至今：共计,在建建筑面积：年初至今：商品建筑（CB）,已出售建筑面积：商品建筑：年初至今
区域,中国,中国,中国
次国家,,,
频率,月,月,月
单位,百万人民币,千平方米,千平方米
数据来源,国家统计局,国家统计局,国家统计局
状态,继续,继续,继续
数列ID,3955901 (CECB),3963401 (CECC),3964901 (CECF)
SR码,SR442079,SR433116,SR186852
Trade Code,,,
助记符,,,
函数说明,,,
首次观测日期,12/1995,12/1995,12/1995
最后观测日期,09/2022,09/2022,09/2022
最后更新时间,26/10/2022,26/10/2022,26/10/2022
数列备注,[COVID-19-IMPACT],,
您可以,,,
04/2012,1242108.83,4271873.73,215616.639
05/2012,1693215.87,4513636.977,288524.54
06/2012,2331403.71,4756137.705,399643.772
07/2012,2869947.48,4892161.425,485932.31
08/2012,3401110.69,5116572.932,574148.215
09/2012,4035366.79,5253765.392,684414.094
10/2012,4630075.88,5381492.035,787429.388
11/2012,5352593.42,5566578.808,917049.864
12/2012,6445578.56,5734175.193,1113036.464
01/2013,736133.31,4554224.329,104711.444
02/2013,736133.31,4554224.329,104711.444
03/2013,1399162.82,4789495.761,208979.819
04/2013,1984718.57,5006176.878,297605.245
05/2013,2586397.77,5234309.778,391181.284
06/2013,3337640.64,5494084.178,514333.314
07/2013,3954884.26,5686809.497,611332.821
08/2013,4572398.43,5855527.889,708419.029
09/2013,5402813.12,6039816.362,843833.073
10/2013,6123763.26,6164650.644,959309.868
11/2013,6994599.55,6460961.141,1108067.986
12/2013,8142828.42,6655718.884,1305505.927
01/2014,709042.07,5295929.191,104656.186
02/2014,709042.07,5295929.191,104656.186
03/2014,1326296.01,5470304.357,201111.797
04/2014,1830656.38,5647824.873,277092.57
05/2014,2367364.24,5860809.109,360696.001
06/2014,3113281.29,6114056.381,483652.319
07/2014,3631513.73,6326849.243,564795.886
08/2014,4166100.82,6529525.022,649874.988
09/2014,4922700.54,6732299.814,771318.194
10/2014,5638492.94,6921322.995,884938.134
11/2014,6448058.37,7113074.448,1017165.716
12/2014,7629240.97,7264823.38,1206485.414
01/2015,597228.82,5700967.821,87638.947
02/2015,597228.82,5700967.821,87638.947
03/2015,1202307.58,5840183.757,182544.408
04/2015,1773872.22,5995804.24,263845.683
05/2015,2440861.62,6169030.565,359963.809
06/2015,3425920.7,6375630.019,502636.392
07/2015,4117076.08,6541724.824,599144.209
08/2015,4804156.29,6693596.887,696749.581
09/2015,5674480.78,6936520.634,829082.46
10/2015,6478977.2,7078050.619,948981.213
11/2015,7452218.83,7239899.151,1092527.361
12/2015,8728083.75,7356933.687,1284949.66
01/2016,857681.19,6035437.185,112345.581
02/2016,857681.19,6035437.185,112345.581
03/2016,1852426.51,6179752.073,242992.063
04/2016,2765565.28,6342610.659,360122.433
05/2016,3677549.41,6513381.112,479542.155
06/2016,4868235.06,6697504.922,643024.933
07/2016,5756904.8,6856056.756,757601.893
08/2016,6662297.78,7001209.754,874507.747
09/2016,8020815.73,7160288.84,1051845.309
10/2016,9148212.08,7309808.133,1203382.785
11/2016,10250267.37,7451217.58,1358294.85
12/2016,11762704.75,7589748.03,1573485.293
01/2017,1080553.58,6229502.921,140543.393
02/2017,1080553.58,6229502.921,140543.393
03/2017,2318225.28,6369770.139,290348.485
04/2017,3322261.4,6540535.708,416551.535
05/2017,4363172.84,6714382.293,548204.995
06/2017,5915182.9,6923259.431,746617.025
07/2017,6846136.31,7073128.054,863508.887
08/2017,7809559.16,7217806.027,985390.236
09/2017,9190353.35,7380645.254,1160061.63
10/2017,10299034.28,7523336.852,1302538.96
11/2017,11548059.79,7684426.858,1465683.193
