,CN: Export: Agriculture Product (AP),CN: Export: Refined Petroleum Product,CN: Export: Basic Organic Chemical,CN: Export: Plastic Article,"CN: Export: Textile Yarn, Fabric & Article thereof (TY)",CN: Export: Garment & Clothing Accessory (GC),CN: Export: Furniture & Part thereof,CN: Export: Mechanical & Electrical Product (ME),CN: Export: Hi-Tech Product (HT),CN: (DC)Export: ME: Others,CN: (DC)Export: ME: Metal Product,CN: (DC)Export: ME: Machinery,CN: (DC)Export: ME: Transport Equipment,CN: (DC)Export: ME: Electric & Electronic Product,CN: (DC)Export: ME: Instrument & Apparatus
02/2011,2837.328,1257.816,,977.327,4026.493,6416.926,1773.22,59279.881,32515.371,2212.027,3196.709,19290.832,4918.825,26086.741,3574.747
03/2011,5064.925,1941.6,,1723.413,7898.104,8670.729,3073.121,88220.351,45822.993,3327.1,5256.4,29165.726,8884.601,36466.969,5119.555
04/2011,5119.261,1604.249,,1859.198,8767.458,11107.158,3321.137,87742.038,44185.49,3314.532,5867.201,29024.816,8656.529,35947.684,4931.275
05/2011,4908.82,2098.433,,1898.015,8619.247,11719.24,3051.803,88013.296,42903.311,3135.336,6040.641,28871.205,9702.464,35326.331,4937.319
06/2011,4657.801,1804.392,,1925.751,8358.707,14538.821,3018.274,90486.459,46195.889,3099.996,5931.459,30689.499,9204.221,36551.566,5009.719
07/2011,4971.935,1937.561,,2127.923,8702.504,17293.497,3172.686,97042.231,49108.38,3739.713,6388.124,32428.18,10402.053,38842.274,5241.886
08/2011,4908.042,1877.63,,2195.563,8363.258,17087.926,3118.646,96434.441,48582.192,4353.822,6557.875,31995.2,9151.146,39000.198,5376.201
09/2011,4944.226,1865.883,,2092.446,7947.853,15032.678,2890.149,97743.546,49072.398,4499.562,6551.54,31247.553,9737.458,40075.902,5631.531
10/2011,4848.751,1367.181,,1910.117,7449.256,12200.842,2884.74,93150.673,48381.808,4182.888,5942.601,30775.338,8903.01,38145.211,5201.625
11/2011,5847.195,1775.442,,2515.309,8034.956,12356.713,3988.157,101621.695,51357.499,4700.674,7102.557,31750.985,9874.181,42706.597,5486.702
12/2011,6363.116,1894.591,,2388.01,8301.546,13442.62,4096.562,101672.236,50409.8,4554.392,6990.869,32428.999,9831.026,42261.58,5605.37
01/2012,5413.658,1616.055,,1962.165,7676.603,13842.127,3507.488,84638.189,38816.185,3649.218,6222.43,27148.975,9852.257,33209.868,4555.44
02/2012,3707.332,1899.329,,1152.432,4264.054,5447.685,1998.673,71806.857,39777.504,2483.879,3576.618,24309.961,6407.142,30661.914,4367.342
03/2012,5189.696,1900.004,,2124.606,8504.601,10285.024,3671.907,96571.151,48743.971,3696.159,6262.456,32511.546,9161.093,39069.681,5870.215
04/2012,4967.526,1554.878,,2540.82,8406.625,10393.805,4060.854,93828.67,45954.878,4263.325,6725.996,31098.855,8729.278,37361.059,5650.156
05/2012,5192.055,1865.597,,3086.365,9227.118,12606.833,4759.058,101119.538,48086.976,4598.85,7655.763,33461.725,10146.884,39185.769,6070.547
06/2012,5002.298,1850.83,,2876.263,8408.117,14479.781,4467.009,102561.549,50622.38,4609.635,7097.194,34243.779,10614.641,39688.535,6307.765
07/2012,4912.118,1501.556,,3089.68,8001.957,15887.138,4420.301,98895.298,49179.557,5062.936,6982.138,31413.906,9470.131,39412.63,6553.558
08/2012,5025.596,1697.79,,3032.494,8042.017,16557.653,3990.706,99808.085,49405.723,5526.484,7067.634,29799.249,9116.421,41438.323,6859.974
09/2012,5352.602,1728.927,,3160.948,8541.372,16584.29,4227.917,106040.783,53722.671,5675.583,7034.008,31163.984,9271.635,45807.882,7087.692
10/2012,5220.137,1601.802,,2923.672,8048.834,14702.775,4282.863,102591.054,54960.153,5635.075,6568.725,31715.722,8595.194,43703.453,6372.885
11/2012,6058.655,1945.545,,2455.403,8110.917,12862.43,3780.777,107448.604,60201.506,4784.644,6386.01,33747.404,8762.788,47363.855,6403.904
12/2012,6482.351,2178.502,,3177.016,8571.609,15528.84,5664.789,115066.616,62019.781,6048.395,7607.094,35414.475,8688.713,50589.128,6718.809
01/2013,5956.327,2087.57,,2833.711,9180.742,15510.544,5419.549,105809.821,55093.909,5509.436,7245.934,31912.845,8932.384,45932.569,6276.653
02/2013,3872.272,1965.551,,2067.632,5887.686,10588.101,3393.236,81998.895,44084.717,3689.785,5224.751,26347.634,6320.556,35273.595,5142.574
03/2013,5221.899,2384.095,,2349.383,7503.992,9217.196,3493.844,110769.326,64151.911,3461.031,5803.378,31802.751,8116.242,54591.284,6994.64
04/2013,5639.761,2408.855,,2954.045,9650.596,12631.449,4474.411,108869.026,57681.134,4451.172,7006.983,31696.23,7975.178,51547.245,6192.217
05/2013,5653.964,2295.3,,3219.666,9714.55,13257.518,4605.86,103716.957,51184.036,4752.221,7489.585,31712.811,9205.47,44350.863,6206.007
06/2013,5247.807,1692.007,,2843.647,9225.262,14864.406,4160.364,97551.839,49047.109,4263.654,6874.57,30477.106,8443.204,41664.358,5828.947
07/2013,5515.467,1714.871,,2862.147,9576.481,18095.391,4143.396,102846.977,50971.578,4717.116,7334.179,31952.016,8803.198,43865.086,6175.382
08/2013,5421.589,1997.791,,2944.07,9387.604,18653.878,3809.982,106450.536,54478.31,5354.642,7375.863,32044.494,8171.324,47181.133,6323.08
09/2013,5450.806,1837.875,,3023.866,9088.092,17496.158,3725.125,105251.716,53855.443,5649.095,7183.311,30531.416,8053.209,47464.098,6370.587
10/2013,5653.72,2101.72,,3202.658,8567.463,15518.243,4397.252,106352.04,54901.219,6369.439,7123.093,31367.265,8670.457,46511.134,6310.651
11/2013,6415.133,1772.2,,3404.514,9462.443,14996.141,4931.09,118644.783,63908.757,6423.26,7604.367,36454.84,8982.182,52706.907,6473.227
12/2013,7064.45,2252.489,,3595.678,9737.301,16259.551,5280.158,117657.329,61071.258,6584.9,8087.234,37032.294,8889.913,50666.567,6396.42
01/2014,6724.021633,1979.951593,,3716.378497,10537.294464,18079.476789,5655.431611,112821.576373,51986.334517,6721.781361,8960.961631,35217.70046,10709.53288,45074.232716,6137.367325
02/2014,3212.510003,1807.358464,,1612.202866,4216.633019,6658.617374,2180.216494,69130.789259,38164.098479,2787.116608,3987.748077,23618.103495,4768.481678,29867.815239,4101.524162
03/2014,5505.95224,2469.104676,,2568.051309,8283.523111,10354.305614,3477.298917,97805.185431,50636.198951,3996.36526,6199.316346,31492.305347,7554.646193,42785.181739,5777.370546
04/2014,6045.307918,1935.71119,,3218.308659,10556.009646,13197.798216,4245.055478,106230.549448,51407.8287,4969.820913,7587.036742,33050.765167,8821.660742,45483.527118,6317.738766
05/2014,6109.222378,1946.890382,,3244.090213,10457.684604,14513.764373,4401.527888,110535.015988,53644.485354,5020.406779,7895.112745,33924.635242,10043.833197,47152.760856,6498.267169
06/2014,5855.236336,1987.292887,,2905.367652,9259.758401,16387.153863,4046.521167,102517.753183,50672.255864,4795.634636,7345.437341,31968.718231,8692.820485,43815.600015,5899.542475
07/2014,6038.018125,2007.291067,,3351.407803,10107.084855,20240.298479,4528.943737,115805.115728,56286.496601,6389.984807,8361.381155,35398.388506,9660.624271,49183.869586,6810.867403
08/2014,5828.791775,2443.709946,,3348.611413,9963.662449,20569.616742,4441.327638,111972.910269,53843.563202,6848.886871,8432.691934,33632.622726,8629.580032,47865.706062,6563.422644
09/2014,5885.371112,1875.018965,,3295.500794,9751.998295,18799.549902,4286.116914,113625.631462,56985.942939,6944.087629,8293.505717,32559.970781,8358.167536,50983.303209,6486.59659
10/2014,6164.815092,2718.142146,,3099.336069,9746.769199,16791.319014,4336.964938,117019.896766,62453.875215,6416.040606,7919.387356,34099.10892,7922.774281,54301.929865,6360.655738
11/2014,6827.73051,2027.540682,,3194.184204,9546.311227,14798.243297,4927.043932,122704.115012,65546.332806,6337.676017,8343.326585,37370.34328,9301.795537,54987.334207,6363.639386
12/2014,7158.246722,2204.200242,,3557.796925,9753.87419,15920.372622,5504.83204,131272.498268,69021.237219,6458.448858,9313.653283,38650.405847,10446.01559,59684.752428,6719.222262
01/2015,6282.254605,1469.705296,,3505.562453,9716.866167,15824.863732,5690.678886,111198.504275,50650.215845,6513.394683,9390.085697,31591.530052,11285.228967,46494.802873,5923.462003
02/2015,4931.969352,1030.105462,,2917.359396,8397.136846,13278.504411,4610.598265,95987.042582,44001.836592,5589.926251,8107.204822,28698.553268,8706.410359,39695.383936,5189.563946
03/2015,4509.291632,1569.230522,,1935.302885,5875.306589,6688.745297,2931.450467,89546.593044,48262.847443,3410.376648,5133.537419,27534.189419,7573.736868,40377.893679,5516.859011
04/2015,5565.496648,1481.863565,,3030.64146,9419.8024,10455.862314,4253.150212,103131.913173,50348.440484,5015.466489,7520.241926,30115.376753,9089.248366,45612.269136,5779.310503
05/2015,5811.837297,1296.404018,,3290.885503,10045.182531,13346.777873,4765.857187,108832.76003,51974.851325,5789.376314,8426.177999,31037.694836,9477.47925,47999.883759,6102.147872
06/2015,5621.294943,1688.613989,,3263.596993,9468.196399,15881.384341,4385.095618,108530.641248,53481.096013,5952.617172,8036.834436,30699.077724,8565.741983,49493.198393,5783.17154
07/2015,5505.766595,1544.014312,,3169.640979,9514.550385,17738.720511,4105.720773,109073.868179,53096.705762,6706.679282,8058.148859,30383.325912,9042.206891,48734.44644,6149.060795
08/2015,5619.266632,1698.594344,,3320.967484,9741.002618,19083.249125,3982.142206,110039.016712,53901.399866,7435.492495,7909.180272,29778.435731,8217.056353,50064.639735,6634.212126
09/2015,6065.100907,1950.882833,,3324.700846,9703.275735,17206.130896,4010.919965,119217.065485,59455.382608,7977.491457,8510.840974,30875.714491,9704.845983,55304.276426,6843.896154
10/2015,6083.419154,1571.195224,,3109.021446,9206.708541,14445.490169,4150.926819,114750.459263,61432.204138,6979.567136,7693.79644,29556.282736,8100.881871,56313.777227,6106.153853
11/2015,6489.14446,1871.938179,,3272.229745,8662.77538,13307.724411,4586.739016,116821.600138,64038.095143,6844.452614,7678.220281,30132.972671,7780.309792,58096.147719,6289.497061
12/2015,7764.003329,1925.898001,,3683.331151,9793.261773,17098.201069,5366.920495,130297.740782,68413.206297,7165.494378,9126.680036,34161.184,9827.039629,62551.376277,7465.966462
01/2016,6272.304,1278.126,,3361.307,9449.97,14680.577,5123.169,98178.579,45645.257,6046.767,8101.085,27198.876,8164.369,43424.818,5242.663
02/2016,4226.748,1192.415,,2041.234,6083.063,9575.138,2887.882,73490.411,36359.775,3720.608,5322.294,22601.624,5954.875,31784.046,4106.963
03/2016,5794.774,1272.741,,2771.804,7922.822,8929.227,3637.82,95959.302,49249.693,4561.912,6286.716,28156.005,7687.691,43851.501,5415.477
04/2016,5600.427,1250.55,,3357.274,9663.425,11195.053,4201.897,99761.339,47680.471,5604.19,7486.636,28519.114,8036.313,44485.281,5629.806
05/2016,6240.603,1362.518,,3401.963,10205.035,13310.549,4297.769,101204.231,47545.028,5576.21,7756.695,29555.901,7801.034,44773.273,5741.118
06/2016,5711.45,1566.885,,3150.962,9114.298,14888.557,3975.141,101427.523,49147.518,5699.795,7343.296,29293.546,7998.317,45326.689,5765.882
07/2016,6169.091,1876.109,,3107.127,9060.883,16069.946,3934.984,101782.249,49588.881,6447.514,7233.356,28615.406,7827.756,45927.103,5731.114
08/2016,6430.221,1563.396,,3302.895,10246.42,17686.349,4070.828,105402.513,49409.023,7322.503,7811.514,30495.194,7412.527,46220.488,6140.287
09/2016,5953.76,1797.273,,3064.146,7719.829,15044.605,3807.419,107954.461,53933.261,7198.575,7172.119,28371.16,8457.43,50730.758,6024.42
10/2016,6065.931,1782.161,,2969.228,8591.074,12839.262,3689.896,105118.096,56053.263,6399.847,6823.819,27490.888,7227.874,51206.338,5969.33
11/2016,7167.944,2032.617,,3278.183,9003.946,12525.607,4422.217,114199.82,60794.779,6085.508,7537.026,31228.224,8306.869,54928.049,6114.145
12/2016,7303.326,2396.04,,3763.368,9155.895,14273.01,4989.324,122352.716,62955.513,6907.967,8639.215,34411.463,8679.099,57205.169,6509.804
01/2017,6465.897,1399.588,,3372.556,9584.344,14320.112,4685.111,102736.148,46852.272,6317.043,8127.115,28584.932,10408.034,43856.972,5442.052
02/2017,3788,2063.681,,1753.198,4586.771,6390.236,2339.099,74114.881,40427.654,3030.025,4253.57,22310.897,6087.114,34114.876,4318.399
03/2017,6043.142,2324.522,,3264.275,9097.6,10916.873,4263.78,104403.894,51310.862,4988.238,7354.116,31506.894,8606.25,46087.351,5861.044
04/2017,5887.581,1729.501,,3489.275,9813.784,11796.699,4419.203,101778.267,48388.007,5537.432,8184.522,29801.523,8008.163,44685.666,5560.96
05/2017,6244.282,1938.021,,3661.344,10405.751,12999.599,4640.358,107079.662,49461.727,6011.767,8550.83,31367.134,9414.246,45997.218,5738.466
06/2017,6293.226,2039.568,,3471.892,9661.622,14692.859,4407.091,111777.047,54503.289,6227.106,8303.911,34154.399,9538.696,47417.679,6135.255
07/2017,6153.825,2133.576,,3408.772,9338.087,16147.914,4061.187,108958.513,53713.691,6677.027,8070.101,32608.331,8302.573,47347.288,5953.193
08/2017,6380.824,2116.004,,3360.564,9695.932,16586.089,3987.062,113322.765,55972.712,7048.695,7933.671,33576.658,8515.821,49787.589,6460.332
09/2017,6101.125,1750.147,,3279.675,8967.868,14779.853,3924.92,117821.835,61400.735,7421.854,7405.345,32236.121,9079.202,55290.834,6388.479
10/2017,6554.121,1891.664,,3026.374,9184.875,12497.571,3932.036,113686.008,60268.182,6686.371,7084.062,31477.842,8388.077,54222.537,5827.119
11/2017,7813.777,2885.803,,3628.252,9989.185,13126.056,4722.267,131896.943,70210.187,6834.465,8652.985,37277.823,9127.963,63650.753,6352.955
12/2017,7982.849,3228.226,,4093.878,10161.179,13854.942,5078.001,139506.87,74877.581,7090.422,9869.192,38443.841,9492.342,67833.462,6777.612
01/2018,6981.174,2162.422,,3602.021,9985.013,13121.569,4935.192,116500.824,57708.566,6081.538,8743.995,32566.637,10349.403,53070.843,5688.409
02/2018,5013.034,2060.578452,,3074.671,8917.518,11425.086,3946.994,100791.581,48527.865,5003.837,7828.308,30675.206,8582.918,43662.104,5039.209
03/2018,5772.981,3768.819005,,2529.848,6979.849,7184.247,3218.067,106899.592,59722.52,4036.729,6080.21,34014.049,8475.386,48605.903,5687.316
04/2018,6672.252,2977.528,,3538.729,10495.973,10906.554,4378.637,116921.249,58418.544,5507.16,8461.226,35725.618,9964.295,51401.11,5861.841
05/2018,6643.514,3619.349,,3878.089,11244.225,12200.517,4787.398,122896.678,58195.19,6055.944,9219.101,37178.894,12657.11,51898.448,5887.182
06/2018,6486.009,3000.23,,3961.714,10672.07,14775.038,4775.521,124038.516,60757.985,6649.2,9276.708,37792.362,10290.446,53823.231,6206.569
07/2018,6842.502,2881.323,,3764.453,10158.669,16791.724,4331.949,122293.621,60158.422,6833.118,8921.571,37032.551,10073.492,53211.865,6221.023
08/2018,6343.015,3354.233,,3780.717,10281.19,16768.106,4328.99,124414.437,61934.524,7330.177,8927.614,36975.16,9806.832,55040.261,6334.393
09/2018,6604.021,2514.977,,3889.45,10600.153,16008.387,4336.758,134407.408,71156.106,7837.057,8861.568,37315.654,9631.251,64439.512,6322.367
10/2018,6872.703,2652.656,,3642.912,9743.599,13513.031,4471.747,131070.205,72029.926,7065.041,8298.535,34934.808,9311.289,65499.019,5961.513
11/2018,7542.44,2966.824,,4300.704,10313.191,12736.172,5558.067,135891.755,72161.689,7356.409,9798.826,38736.55,9344.64,64623.651,6031.678
12/2018,7590.867,3649.923,,4212.106,9882.393,13234.796,5201.022,129969.969,67175.655,6879.159,9613.25,37819.964,9748.966,59622.108,6286.522
01/2019,7002.626,3005.366,,4336.809,11412.006,13650.758,5532.015,124324.737,59175.43,6688.086,10099.431,35662.623,10567.977,55329.665,5976.956
02/2019,3731.351,2096.734,,2222.41,5959.233,7116.318,2692.592,81590.105,42846.982,3549.101,5379.434,25609.22,5969.969,36711.787,4370.594
03/2019,6482.32,3975.475,,3544.96,9523.954,8657.718,4162.145,118240.558,60783.627,5457.431,7909.363,36371.745,8627.487,53656.392,6218.14
04/2019,6154.964,3601.899,,3827.765,9788.914,9671.121,4503.758,112609.105,54972.458,6104.797,8764.306,33335.82,8412.948,50405.186,5586.049
05/2019,6641.609,2667.581,,4360.576,11643.532,12187.167,4947.426,123507.216,58476.689,6528.345,9838.045,36499.339,9831.1,54547.784,6262.602
06/2019,6535.658,3156.412,,4066.76,10309.218,14337.275,4551.444,122114.546,59505.272,6949.621,9137.786,37007.898,10052.897,52694.089,6272.256
07/2019,6481.66,3210.818,,4337.939,10767.316,16747.035,4493.727,125804.641,60044.32,7784.686,9722.314,36483.545,9715.516,55610.017,6488.563
08/2019,6360.962,2407.032,,4308.09,10014.671,15698.936,4316.227,123264.735,59962.589,7980.508,9263.228,33747.889,9015.61,56846.492,6411.007
09/2019,6591.266,3257.418,,4026.688,9764.637,14755.039,4071.533,128620.163,67061.457,6976.554,9040.288,32996.445,9548.715,63648.515,6409.646
10/2019,6910.596,2939.981,,4048.219,10155.065,12712.925,4275.012,127944.064,69568.897,6575.451,8732.402,34398.535,8449.591,63730.078,6058.008
11/2019,7560.707,4107.251,,4321.845,9953.491,12113.918,4838.694,133079.563,71105.678,6889.394,9377.692,36437.425,9165.009,65032.235,6177.807
12/2019,8159.95,3919.24,,5085.622,11006.053,13947.765,5841.054,139780.714,67605.204,8007.91,11252.525,38425.248,12546.177,62785.614,6763.238
01/2020,6556.985,3108.835,3497.641,6577.779,11408.435,13537.291,5145.126,121106.292,55699.046,,,,,,
02/2020,2933.059,3079.225,1673.603,1555.051,2354.14,2497.743,920.336,50619.447,30671.408,,,,,,
03/2020,6743.373418,3992.616144,4421.187,5560.058342,8922.313563,6507.990655,3491.124398,107639.407822,56225.002196,,,,,,
04/2020,6488.558051,3514.635319,3651.356,6271.704497,14613.427,6739.890587,3906.239974,118777.939043,60989.114493,,,,,,
05/2020,6363.666962,1280.200006,3460.065,6733.104547,20648.746818,8905.698334,4181.169608,120722.676026,63039.407,,,,,,
06/2020,6061.093528,1198.159327,3155.189,7484.883465,16156.823271,12874.65619,4933.958897,124100.636921,62403.232708,,,,,,
07/2020,6434.426,1019.963,3082.491,8269.041,15976.934,15317.541,5530.468,138692.727,69393.663,,,,,,
08/2020,6230.587,1472.954,3045.975,8211.647,14717.51,16206.633,5351.747,137868.513,67124.916,,,,,,
09/2020,6625.227,1437.184,3027.595,7890.189,13152.122,15225.24,5315.535,143866.502,69887.514,,,,,,
10/2020,6554.433,2014.941,2921.897,8012.324,11661.724,13183.046,5654.826,144432.61,72487.51,,,,,,
11/2020,7482.557,1717.888,3473.286,9201.764,12039.604,12549.985,6867.017,166343.437,86114.01,,,,,,
12/2020,7557.735,2106.951,3887.681,9673.371,12290.948,13910.008,7445.768,172102.502,85552.805,,,,,,
01/2021,7039.367,2210.985,4128.295,8170.246,13076.075,13541.127,6562.648,158236.822,75822.274,,,,,,
02/2021,4734.41,2281.411,3475.216,5795.311,9058.024,10513.046,4455.94,124683.134,60777.253,,,,,,
03/2021,6335.104,3266.149,4962.323,6806.507,9673.528,9252.825,5199.051,145711.761,75832.318,,,,,,
04/2021,6624.933,3489.207,5221.631,8018.593,12154.844,11122.631,6236.256,154727.704,76130.407,,,,,,
05/2021,6873.886,2833.937,5040.635,8175.058,12123.435,12196.968,6293.787,153342.563,72954.774,,,,,,
06/2021,6794.683,3442.668,4979.881,8359.606,12515.256,15148.258,6180.63,162804.154,76827.34,,,,,,
07/2021,6675.32,2570.389,4485.013,8151.51,11698.188,16574.992,6043.363,163808.017,80117.8,,,,,,
08/2021,6995.664,2110.028,5002.128,8764.608,12524.039,17599.075,6235.767,169601.032,80033.97,,,,,,
09/2021,7426.598,2365.814,5148.885,8807.279,12409.207,16722.578,6155.674,180238.268,89869.553,,,,,,
10/2021,7526.614,2348.099,5025.888,8670.673,12500.513,16437.376,6466.825,178430.02,89123.482,,,,,,
11/2021,8443.762455,2699.682413,6392.654,9616.952793,13244.753759,15413.759897,6996.792592,194567.879807,98322.73951,,,,,,
12/2021,8895.098862,2171.981573,7142.504,9777.95476,14283.56975,15926.888165,7149.642675,203283.1184,105300.139825,,,,,,
01/2022,9086.042,2614.308,7089.334,10223.958,16606.964,15806.651,7257.771,187380.743,88864.115,,,,,,
02/2022,5209.701,2277.786,5195.758,5769.873,8134.049,9654.722,3962.416,130316.208,67666.659,,,,,,
03/2022,7624.853412,3261.236493,7258.39,8224.009696,11825.328597,10224.108595,5568.225562,161985.452054,83104.89914,,,,,,
04/2022,7979.796138,3506.77274,6507.766,8798.053426,12259.420493,11332.431782,6046.59579,154546.159525,72324.028728,,,,,,
05/2022,8769.979943,3042.198163,8024.996,9632.011421,14028.242568,15199.174154,6314.267469,167732.59341,76128.271485,,,,,,
06/2022,8422.472209,3099.544299,8056.554,9922.643282,13504.474167,18041.612362,6163.026681,183165.267824,82547.63564,,,,,,
07/2022,8609.660938,3581.767087,7596.651,9819.32175,13583.91956,19637.83824,5917.106611,185128.4261,82053.89935,,,,,,
08/2022,8340.116849,4942.530894,6393.827,9048.323925,12490.37895,18485.62128,5444.025547,176889.3083,76927.02589,,,,,,
09/2022,8202.591633,5473.944307,5934.701,9282.689766,12068.603533,15981.973313,5577.515836,190666.531411,88875.56602,,,,,,
10/2022,8284.878087,3847.980147,5500.76,8912.331719,11368.754743,13654.701124,5780.767552,177135.876592,82364.131388,,,,,,
11/2022,8823.314,5409.88461,4890.978,9221.988098,11266.463791,13119.691923,5882.867395,171844.533,74726.183,,,,,,
12/2022,9197.698013,6642.108095,5242.439,9481.679594,11002.867655,14293.757835,6092.796269,177020.648913,78130.509236,,,,,,
01/2023,7780.956,5340.109,5483.43,9010.664,12217.111,14126.768,6297.634,167890.805,68755.524,,,,,,
02/2023,6766.719,4933.932,4791.304,5358.451,6947.393,7551.113,2962.82,126158.241,58340.85,,,,,,
03/2023,8953.420152,4166.035034,5457.998,10409.681316,12904.91769,13484.907813,6329.773223,181904.191576,74472.998379,,,,,,
04/2023,8238.687763,2812.705577,5013.761,9464.401042,12741.664744,12916.448954,6045.995718,170626.163031,68059.93153,,,,,,
05/2023,8122.980787,3602.057816,4977.588,8564.712516,12021.831984,13298.381873,5379.368571,164201.806321,65531.604953,,,,,,
