,CN: Export: Agriculture Product (AP),CN: Export: Refined Petroleum Product,CN: Export: Basic Organic Chemical,CN: Export: Plastic Article,"CN: Export: Textile Yarn, Fabric & Article thereof (TY)",CN: Export: Garment & Clothing Accessory (GC),CN: Export: Furniture & Part thereof,CN: Export: Mechanical & Electrical Product (ME),CN: Export: Hi-Tech Product (HT),CN: (DC)Export: ME: Others,CN: (DC)Export: ME: Metal Product,CN: (DC)Export: ME: Machinery,CN: (DC)Export: ME: Transport Equipment,CN: (DC)Export: ME: Electric & Electronic Product,CN: (DC)Export: ME: Instrument & Apparatus
05/2007,2809.529,710.198,,1250.5,4665.434,8496.378,1704.691,52058.634,24288.364,2094.904,4257.702,16433.292,4562.797,21943.895,2766.044
06/2007,2957.271,869.97,,1349.851,4587.241,11609.382,1720.681,55968.389,27120.846,2302.858,4589.807,18277.37,4650.174,23210.807,2937.373
07/2007,2978.16,649.913,,1303.891,5217.227,12150.264,1830.072,59059.157,27969.216,2778.06,4710.372,18829.184,4906.852,24756.211,3078.478
08/2007,2907.119,803.679,,1263.945,5429.816,12664.133,1897.896,62530.654,30650.897,3190.015,4169.225,19729.607,4810.148,27221.962,3409.697
09/2007,2783.886,911.225,,1178.307,5224.423,12458.29,1827.368,65745.49,32825.817,3361.612,4176.347,20858.858,5127.692,28707.942,3513.039
10/2007,2917.003,715.497,,1141.123,4863.175,10028,1901.473,65011.429,33534.774,3181.851,3870.317,20447.915,4555.016,29381.682,3574.647
11/2007,3729.16,844.02,,1226.923,5190.567,9837.111,2217.58,71696.972,36556.478,3112.418,4275.785,22673.816,5320.777,32512.563,3801.613
12/2007,4058.872,858.325,,1250.002,4948.527,9647.032,2334.321,67140.964,33414.456,2761.898,4345.995,21624.264,5539.656,28998.739,3870.413
01/2008,3647.121,845.291,,1267.322,5392.436,9942.549,2547.169,62149.58,30093.509,2887.099,4614.384,20185.329,5699.167,25271.283,3492.319
02/2008,2600.14,922.744,,859.21,3794.356,6493.987,1661.297,52947.544,27993.4,2154.017,3367.998,18612.978,4286.437,21343.256,3182.857
03/2008,3016.875,903.214,,1142.604,5060.562,6766.446,2202.589,66219.205,34667.257,2659.873,4110.58,22533.991,5463.896,27711.952,3738.914
04/2008,3438.187,952.068,,1284.48,5983.347,8306.906,2382.247,70021.422,34986.511,2964.158,4935.546,22868.273,6511.441,28872.297,3869.708
05/2008,3365.365,1225.31,,1254.968,5846.675,8588.028,2159.744,69251.974,34026.157,2891.873,5019.518,22029.982,6463.292,28897.525,3949.784
06/2008,3279.264,1217.011,,1203.35,5648.124,9871.543,2084.732,68284.417,34422.196,2969.388,5006.313,21858.029,6262.832,28614.031,3573.825
07/2008,3627.477,1499.935,,1320.535,6156.893,12527.489,2199.579,75337.623,37262.745,3569.934,5631.999,24581.976,7144.035,30548.191,3861.489
08/2008,3315.209,1290.734,,1353.387,6051.825,12539.664,2031.541,74535.115,37239.326,3849.096,5650.495,23644.573,6531.021,30970.795,3889.136
09/2008,3399.364,1328.663,,1343.422,5949.233,12060.287,2095.477,78388.275,40242.046,4119.194,5617.704,24659.575,5834.84,34039.709,4117.252
10/2008,3302.377,1290.755,,1330.638,5559.865,11185.45,2246.164,76153.62,39932.36,4008.628,5306.17,24794.577,5770.253,32663.392,3610.6
11/2008,3475.32,979.973,,1597.727,4995.553,10433.597,2523.656,68244.841,34927.926,3500.784,4823.754,22425.617,5743.764,28684.81,3066.112
12/2008,3761.868,1204.313,,1869.137,4968.639,11097.588,2789.814,61596.334,29946.846,3471.668,4951.869,20545.13,5129.691,24464.507,3033.469
01/2009,3148.314,534.34,,1245.546,4723.898,10507.063,2438.934,49144.773,21661.688,2583.794,4202.024,16942.311,4896.993,18116.539,2403.112
02/2009,2161.707,629.235,,652.824,2563.051,4111.55,1194.534,40846.135,22113.545,1680.954,2496.167,14416.895,3562.344,16686.483,2003.293
03/2009,3040.157,581.503,,1134.058,4732.198,7431.932,2229.077,53755.365,27445.958,2554.631,3792.934,18807.182,4374.203,21656.01,2570.404
04/2009,3150.171,810.085,,1211.441,5121.059,7372.015,2184.561,54465.164,27064.768,2474.782,3767.044,18313.438,4899.371,22197.083,2813.447
